UF;Destino;Tipo;ÍNDICE GERAL;INFRAESTRUTURA GERAL;ACESSO;SERVIÇOS E EQUIPAMENTOS TURÍSTICOS;ATRATIVOS TURÍSTICOS;MARKETING E PROMOÇÃO DO TURISMO;POLÍTICAS PÚBLICAS;COOPERAÇÃO REGIONAL;MONITORAMENTO;ECONOMIA LOCAL;CAPACIDADE EMPRESARIAL;ASPECTOS SOCIAIS;ASPECTOS AMBIENTAIS;ASPECTOS CULTURAIS
BA;Salvador;Capital;72,1;75,9;85,5;69,1;86,2;52,3;58,6;55,0;39,9;71,5;93,7;67,6;79,2;81,9
PA;Santarém;Não capital;53,0;64,8;67,5;56,6;59,6;32,6;47,8;46,6;53,1;38,6;53,2;53,4;57,0;41,0
SC;São Joaquim;Não capital;41,7;71,8;55,4;26,2;49,9;35,0;35,9;43,0;7,5;61,5;27,2;42,2;26,4;39,6
MA;São Luís;Capital;62,4;67,4;61,5;64,3;53,4;36,1;56,2;48,6;45,0;72,9;86,3;69,7;73,0;74,5
SP;São Paulo;Capital;75,9;83,9;90,2;86,9;76,6;78,5;74,8;27,4;77,0;86,8;93,9;62,7;67,5;59,8
PI;São Raimundo Nonato;Não capital;37,1;57,6;26,7;30,6;68,2;23,3;34,2;9,3;6,2;37,0;19,6;46,4;60,2;45,3
PI;Teresina;Capital;51,2;59,9;61,6;51,4;48,7;24,9;45,8;20,6;8,9;58,6;83,7;53,1;73,6;53,9
RN;Tibau do Sul;Não capital;45,0;54,0;44,9;42,8;46,3;24,7;59,4;67,2;21,7;33,5;16,8;57,7;72,6;37,3
MG;Tiradentes;Não capital;47,5;60,4;55,9;35,6;57,1;33,6;35,0;66,9;20,3;56,3;19,3;52,5;57,4;57,5
ES;Vitória;Capital;63,3;79,7;64,7;55,3;52,2;44,9;72,0;62,3;42,0;77,6;83,2;55,8;56,1;73,1
